word,meaning
regularly,（副）定期的に
traditionally,（副）伝統的に
locally,（副）地元で
nowadays,（副）近頃は
freely,（副）自由に
differently,（副）異なって
dramatically,（副）劇的に
efficiently,（副）能率的に
overtime,（副）時間外に
environmentally,（副）環境保護の点で
within,（前）〜以内に
unlike,（前）〜とは違って
while,（接）～している間
though,（接）～だけれども
whether,（接）〜かどうか
despite,（接）～にもかかわらず
throughout,（接）～の間中ずっと
unless,（接）～でない限り
follow,（動）ついていく
process,（動）(食品等を)加工処理する
expect,（動）予期する
matter,（動）重大である
account,（動）説明する
note,（動）書き留める
attempt,（動）試みる
award,（動）賞を与える
establish,（動）設立する
sale,（動）航海する
rise,（動）上昇する
contract,（動）契約する
achieve,（動）達成する
relate,（動）関連がある
direct,（動）指揮する
occur,（動）起こる
represent,（動）代表する
appeal,（動）訴える
vote,（動）投票する
strike,（動）撃つ
express,（動）表現する
determine,（動）決定する
refer,（動）言及する
marry,（動）結婚する
operate,（動）作動する
release,（動）解放する
check,（動）検査する
obtain,（動）得る
post,（動）掲示する
maintain,（動）維持する
indicate,（動）指し示す
advance,（動）進める
fill,（動）満たす
associate,（動）提携する
reflect,（動）反射する
assume,（動）仮定する
admit,（動）認める
propose,（動）提案する
display,（動）展示する
reply,（動）返事をする
shape,（動）形作る
reveal,（動）明らかにする
estimate,（動）評価する
lift,（動）持ち上げる
depend,（動）依存する
search,（動）探す
stick,（動）突き刺す
debate,（動）討論する
arise,（動）生じる
progress,（動）進歩する
adopt,（動）採用する
vary,（動）変わる
master,（動）習熟する
confirm,（動）確かめる
murder,（動）殺害する
repeat,（動）繰り返す
hide,（動）隠す
flow,（動）流れる
purchase,（動）購入する
suit,（動）都合がよい
decline,（動）衰える
observe,（動）観察する
combine,（動）結びつける
commit,（動）罪を犯す
shock,（動）衝撃を与える
acquire,（動）習得する
demonstrate,（動）実演する
load,（動）積み込む
attract,（動）引きつける
promote,（動）昇格する
gather,（動）集める
reject,（動）拒絶する
protest,（動）抗議する
arrest,（動）逮捕する
deliver,（動）配達する
stretch,（動）伸ばす
recommend,（動）推薦する
reserve,（動）予約する
contribute,（動）貢献する
delay,（動）遅らせる
surround,（動）囲む
generate,（動）発生させる
advertise,（動）宣伝する
ban,（動）禁止する
breed,（動）飼育する
rely,（動）頼る
rent,（動）お金を出して借りる
afford,（動）～する余裕がある
attach,（動）取り付ける
persuade,（動）説得する
sink,（動）沈む
connect,（動）つなぐ
abandon,（動）放棄する
explore,（動）探検する
sail,（動）航海する
crash,（動）衝突する
oppose,（動）反対する
repair,（動）修理する
restore,（動）修復する
defend,（動）守る
complain,（動）不平を言う
preserve,（動）保存する
assist,（動）手伝う
pour,（動）注ぐ
predict,（動）予測する
invest,（動）投資する
upset,（動）動揺させる
flood,（動）水浸しにする
overcome,（動）克服する
discount,（動）割引する
specialize,（動）専門とする
adjust,（動）調節する
pretend,（動）ふりをする
update,（動）最新のものに更新する
react,（動）反応する
weigh,（動）の重さがある
wipe,（動）拭く
renew,（動）更新する
cure,（動）治癒させる
evolve,（動）発展する
heal,（動）治る
consume,（動）消費する
scan,（動）注意深く調べる
dive,（動）飛び込む
criticize,（動）批判する
motivate,（動）動機を与える
bump,（動）ぶつかる
enlarge,（動）大きくする
quit,（動）やめる
donate,（動）寄付する
digest,（動）消化する
implant,（動）植え付ける
unpack,（動）中身を出す
analyze,（動）分析する
reset,（動）初期状態に戻す
memorize,（動）記憶する
serious,（形）深刻な
worth,（形）価値がある
significant,（形）重大な
appropriate,（形）適切な
military,（形）軍の
potential,（形）潜在的な
independent,（形）独立した
complex,（形）複雑な
essential,（形）必要不可欠な
commercial,（形）商業の
annual,（形）年１回の
overall,（形）全体的な
representative,（形）代表する
regular,（形）規則正しい
relative,（形）相対的な
domestic,（形）国内の
actual,（形）実際の
characteristic,（形）特有の
brief,（形）短い
chemical,（形）化学の
cultural,（形）文化的な
opposite,（形）反対の
thin,（形）薄い
academic,（形）学問の
tiny,（形）とても小さな
constant,（形）絶えず続く
ancient,（形）古代の
negative,（形）否定の
severe,（形）厳しい
unique,（形）独特の
extreme,（形）極端な
tough,（形）丈夫な
valuable,（形）高価な
long-term,（形）長期の
blind,（形）目の不自由な
efficient,（形）能率的な
temporary,（形）一時的な
rough,（形）粗い
global,（形）地球全体の
nervous,（形）神経質な
accurate,（形）正確な
pleasant,（形）快い
historic,（形）歴史上有名な
reliable,（形）信頼できる
unexpected,（形）意外な
convenient,（形）都合の良い
artificial,（形）人工の
blank,（形）空白の
wealthy,（形）裕福な
solar,（形）太陽の
virtual,（形）仮想の
talented,（形）才能がある
harmful,（形）有害な
incorrect,（形）間違った
stylish,（形）流行の
dizzy,（形）めまいがする
newborn,（形）生まれたばかりの
best-selling,（形）ベストセラーの
secondhand,（形）中古の
low-income,（形）低収入の
latest,（形）最新の
frozen,（形）冷凍した
united,（形）団結した
complicated,（形）複雑な
endangered,（形）絶滅危機の
nonprofit,（形）非営利的な
pay,（名）賃金
authority,（名）権威
term,（名）期間
account,（名）口座
trade,（名）貿易
patient,（名）患者
approach,（名）接近
range,（名）範囲
demand,（名）要求
standard,（名）標準
tax,（名）税
structure,（名）構造
situation,（名）状況
quality,（名）質
fund,（名）基金
measure,（名）基準
officer,（名）公務員
director,（名）重役
secretary,（名）秘書
production,（名）生産
operation,（名）運転
opportunity,（名）機会
security,（名）安全
link,（名）つながり
aim,（名）狙い
function,（名）機能
risk,（名）危険
factor,（名）要素
series,（名）シリーズ
lack,（名）不足
review,（名）批評
behavior,（名）行動
response,（名）応答
user,（名）利用者
army,（名）陸軍
title,（名）題名
object,（名）物
aspect,（名）局面
image,（名）画像
direction,（名）方向
affair,（名）事柄
drug,（名）薬
version,（名）版
majority,（名）大多数
stock,（名）蓄え
facility,（名）施設
article,（名）記事
collection,（名）収蔵品
target,（名）まと
occasion,（名）場合
opinion,（名）意見
requirement,（名）必要条件
option,（名）選択権
tour,（名）旅行
contrast,（名）対照
league,（名）競技連盟
length,（名）長さ
strength,（名）力
contribution,（名）貢献
agent,（名）代理人
desire,（名）欲望
route,（名）道
media,（名）マスメディア
candidate,（名）候補者
latter,（名）後者
impact,（名）衝撃
relative,（名）親類
prison,（名）刑務所
reality,（名）現実
colleague,（名）同僚
confidence,（名）自信
generation,（名）世代
threat,（名）脅威
manner,（名）行儀
entry,（名）入ること
loan,（名）融資
tradition,（名）伝統
traffic,（名）交通
experiment,（名）実験
session,（名）会期
audience,（名）観衆
flight,（名）飛行機の便
youth,（名）青年時代
institute,（名）研究機関
decade,（名）10年間
error,（名）誤り
taste,（名）味
birth,（名）出生
bomb,（名）爆弾
fee,（名）料金
journey,（名）旅行
guest,（名）訪問客
connection,（名）接続
resident,（名）居住者
valley,（名）谷
gallery,（名）画廊
fashion,（名）流行
fuel,（名）燃料
combination,（名）組み合わせ
breath,（名）息
coal,（名）石炭
foundation,（名）基礎
cycle,（名）周期
device,（名）装置
wheel,（名）車輪
tip,（名）ヒント
billion,（名）10億
charity,（名）慈善事業
expectation,（名）予想
manufacturer,（名）製造業者
gap,（名）隔たり
database,（名）データベース
identity,（名）同一人物であること
steel,（名）鋼鉄
layer,（名）層
partnership,（名）協力
mode,（名）様式
conservation,（名）保存
creature,（名）生き物
critic,（名）批評家
presentation,（名）発表
electricity,（名）電気
